Date,Rented Bike Count,Hour,Temperature(Celsius),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(Celsius),Solar Radiation (MJ/m2),Rainfall(mm),Seasons,Holiday,Functioning Day
1,254,0,-5.2,37,2.2,2000,-17.6,0,0,3,0,1
1,204,1,-5.5,38,0.8,2000,-17.6,0,0,3,0,1
1,173,2,-6,39,1,2000,-17.7,0,0,3,0,1
1,107,3,-6.2,40,0.9,2000,-17.6,0,0,3,0,1
1,78,4,-6,36,2.3,2000,-18.6,0,0,3,0,1
1,100,5,-6.4,37,1.5,2000,-18.7,0,0,3,0,1
1,181,6,-6.6,35,1.3,2000,-19.5,0,0,3,0,1
1,460,7,-7.4,38,0.9,2000,-19.3,0,0,3,0,1
1,930,8,-7.6,37,1.1,2000,-19.8,0.01,0,3,0,1
1,490,9,-6.5,27,0.5,1928,-22.4,0.23,0,3,0,1
1,339,10,-3.5,24,1.2,1996,-21.2,0.65,0,3,0,1
1,360,11,-0.5,21,1.3,1936,-20.2,0.94,0,3,0,1
1,449,12,1.7,23,1.4,2000,-17.2,1.11,0,3,0,1
1,451,13,2.4,25,1.6,2000,-15.6,1.16,0,3,0,1
1,447,14,3,26,2,2000,-14.6,1.01,0,3,0,1
1,463,15,2.1,36,3.2,2000,-11.4,0.54,0,3,0,1
1,484,16,1.2,54,4.2,793,-7,0.24,0,3,0,1
1,555,17,0.8,58,1.6,2000,-6.5,0.08,0,3,0,1
1,862,18,0.6,66,1.4,2000,-5,0,0,3,0,1
1,600,19,0,77,1.7,2000,-3.5,0,0,3,0,1
1,426,20,-0.3,79,1.5,1913,-3.5,0,0,3,0,1
1,405,21,-0.8,81,0.8,1687,-3.6,0,0,3,0,1
1,398,22,-0.9,83,1.5,1380,-3.4,0,0,3,0,1
1,323,23,-1.3,84,1,1265,-3.6,0,0,3,0,1
2,328,0,-1.8,87,1.1,994,-3.6,0,0,3,0,1
2,308,1,-2.2,86,0.6,990,-4.2,0,0,3,0,1
2,262,2,-2.9,86,1.5,1256,-4.9,0,0,3,0,1
2,167,3,-3.5,81,2.2,1221,-6.2,0,0,3,0,1
2,89,4,-3.8,79,2,1167,-6.9,0,0,3,0,1
2,79,5,-4,79,1.5,1202,-7.1,0,0,3,0,1
2,70,6,-4.3,82,2.1,1178,-6.9,0,0,3,0,1
2,146,7,-4.4,81,2.5,1276,-7.1,0,0,3,0,1
2,219,8,-4.2,79,2.1,1436,-7.3,0.01,0,3,0,1
2,328,9,-2.9,68,1.6,1487,-7.9,0.3,0,3,0,1
2,334,10,-0.4,57,1.6,1309,-7.8,0.8,0,3,0,1
2,388,11,1.9,49,1.8,1406,-7.7,1,0,3,0,1
2,479,12,4.3,41,1.3,1666,-7.8,1.09,0,3,0,1
2,606,13,6,36,1.8,1780,-7.9,1.12,0,3,0,1
